,NumContrato,Categoría,Division,Clientes,CodFamilias,Familia,NumServicio,CodComercials,CodAlmacen,Delegacion,Montaje,ImpFactAlquiler,CodActividad,NumAlbsDev,PesoDev,CantidadDev,PesoDevueltoEnContrato,PesoArtSumEnContrato,PesoSumEnContrato,PesoTotalDevPorFamilia,PtjeCatEnFam
3170,142845,6,6,955,11,ANDAMIOS BRIO                 ,16,1012,81,7,1,98042.19000000018,2,8,-159.1,-38,6786.909999999969,4431.23999999999,154201.55999999956,-74012.8,0.21496281724242292
3171,142845,7,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,13,-429.4,-178,6786.909999999969,4431.23999999999,154201.55999999956,-429.40000000000003,99.99999999999999
3172,142845,8,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,10,-227.2,-14,6786.909999999969,4431.23999999999,154201.55999999956,-227.2,100.0
3173,142869,1,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,1,-10.4,-1,2456.299999999997,1591.1600000000012,26608.35,-10.4,100.0
3174,142869,3,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,1,-105.60000000000001,-12,2456.299999999997,1591.1600000000012,26608.35,-105.60000000000001,100.0
3175,142869,2,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,7,-191.5,-11,2456.299999999997,1591.1600000000012,26608.35,-191.5,100.0
3176,142869,4,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,2,-23.6,-2,2456.299999999997,1591.1600000000012,26608.35,-23.6,100.0
3177,142869,0,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,145,-18081.399999999998,-2466,2456.299999999997,1591.1600000000012,26608.35,-19138.299999999992,94.47756592800826
3178,142869,0,6,119,11,ANDAMIOS BRIO                 ,6,567,71,7,1,21417.73999999998,2,9,-1056.9,-132,2456.299999999997,1591.1600000000012,26608.35,-19138.299999999992,5.522434071991768
3179,142869,6,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,47,-3642.3999999999996,-438,2456.299999999997,1591.1600000000012,26608.35,-4544.5999999999985,80.14786779914625
3180,142869,6,6,119,11,ANDAMIOS BRIO                 ,6,567,71,7,1,21417.73999999998,2,10,-902.2,-139,2456.299999999997,1591.1600000000012,26608.35,-4544.5999999999985,19.852132200853767
3181,142869,8,6,119,11,ANDAMIOS BRIO                 ,1,567,71,7,1,21417.73999999998,2,2,-8.5,-2,2456.299999999997,1591.1600000000012,26608.35,-8.5,100.0
3182,142888,1,6,176,11,ANDAMIOS BRIO                 ,1,565,541,2,1,5663.249999999993,2,7,-82.19999999999999,-9,3903.6999999999975,2845.2399999999984,46043.03,-175.79999999999998,46.757679180887365
3183,142888,1,6,176,11,ANDAMIOS BRIO                 ,4,565,541,2,1,5663.249999999993,2,9,-66.6,-12,3903.6999999999975,2845.2399999999984,46043.03,-175.79999999999998,37.8839590443686
3184,142888,1,6,176,11,ANDAMIOS BRIO                 ,5,565,541,2,1,5663.249999999993,2,2,-27.0,-2,3903.6999999999975,2845.2399999999984,46043.03,-175.79999999999998,15.358361774744028
3185,142888,3,6,176,11,ANDAMIOS BRIO                 ,1,565,541,2,1,5663.249999999993,2,3,-61.199999999999996,-18,3903.6999999999975,2845.2399999999984,46043.03,-87.3,70.10309278350515
3186,142888,3,6,176,11,ANDAMIOS BRIO                 ,4,565,541,2,1,5663.249999999993,2,1,-26.099999999999998,-3,3903.6999999999975,2845.2399999999984,46043.03,-87.3,29.896907216494846
3187,142888,2,6,176,11,ANDAMIOS BRIO                 ,4,565,541,2,1,5663.249999999993,2,1,-2.4,-2,3903.6999999999975,2845.2399999999984,46043.03,-2.4,100.0
3188,142888,4,6,176,11,ANDAMIOS BRIO                 ,1,565,541,2,1,5663.249999999993,2,1,-12.5,-1,3903.6999999999975,2845.2399999999984,46043.03,-119.4,10.469011725293132
3189,142888,4,6,176,11,ANDAMIOS BRIO                 ,4,565,541,2,1,5663.249999999993,2,5,-98.70000000000002,-5,3903.6999999999975,2845.2399999999984,46043.03,-119.4,82.66331658291458
3190,142888,4,6,176,11,ANDAMIOS BRIO                 ,5,565,541,2,1,5663.249999999993,2,1,-8.2,-1,3903.6999999999975,2845.2399999999984,46043.03,-119.4,6.867671691792294
3191,142888,0,6,176,11,ANDAMIOS BRIO                 ,1,565,541,2,1,5663.249999999993,2,164,-15418.900000000005,-2217,3903.6999999999975,2845.2399999999984,46043.03,-44884.100000000006,34.352699508289135
3192,142888,0,6,176,11,ANDAMIOS BRIO                 ,4,565,541,2,1,5663.249999999993,2,213,-28246.800000000007,-3353,3903.6999999999975,2845.2399999999984,46043.03,-44884.100000000006,62.93275346949143
3193,142888,0,6,176,11,ANDAMIOS BRIO                 ,5,565,541,2,1,5663.249999999993,2,24,-1218.3999999999999,-114,3903.6999999999975,2845.2399999999984,46043.03,-44884.100000000006,2.714547022219449
3194,142909,1,6,3452,11,ANDAMIOS BRIO                 ,1,553,11,8,1,3679.309999999999,2,1,-8.8,-1,480.50000000000006,429.13,15507.5,-8.8,100.0
3195,142909,4,6,3452,11,ANDAMIOS BRIO                 ,1,553,11,8,1,3679.309999999999,2,3,-253.8,-9,480.50000000000006,429.13,15507.5,-253.8,100.0
3196,142909,0,6,3452,11,ANDAMIOS BRIO                 ,1,553,11,8,1,3679.309999999999,2,46,-14821.6,-1611,480.50000000000006,429.13,15507.5,-14821.6,100.0
3197,142930,1,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,18,-312.1,-26,6528.009999999982,4803.019999999997,82097.34999999998,-337.24,92.54536828371486
3198,142930,1,6,915,11,ANDAMIOS BRIO                 ,10,552,71,7,1,29464.02000000003,2,2,-25.14,-2,6528.009999999982,4803.019999999997,82097.34999999998,-337.24,7.454631716285139
3199,142930,3,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,1,-31.200000000000003,-3,6528.009999999982,4803.019999999997,82097.34999999998,-31.200000000000003,100.0
3200,142930,5,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,1,-43.2,-6,6528.009999999982,4803.019999999997,82097.34999999998,-43.2,100.0
